company_id,operating_activity,investing_activity,financing_activity,net_cash_flow,pros,cons,confidence,rating
TRENT,1349.0,-508.0,-629.0,211.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
TVSMOTOR,-1253.0,-1001.0,2759.0,505.0,Positive Net Cash Flow; Investing for Future Growth,Negative Operating Cash Flow; High Financing Dependence,75,Average
ULTRACEMCO,10898.0,-8789.0,-1926.0,183.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
UNIONBANK,19930.0,-1394.0,-11489.0,7047.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
UNITDSPR,1118.0,226.0,-407.0,937.0,Positive Operating Cash Flow; Positive Net Cash Flow; Debt Reduction / Shareholder Returns,,95,Excellent
VBL,2391.0,-3288.0,985.0,88.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth,High Financing Dependence,85,Good
VEDL,35654.0,-13676.0,-26092.0,-4114.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
WIPRO,17622.0,1144.0,-18257.0,509.0,Positive Operating Cash Flow; Positive Net Cash Flow; Debt Reduction / Shareholder Returns,,95,Excellent
ZOMATO,646.0,-348.0,-207.0,91.0,Positive Operating Cash Flow; Positive Net Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,,95,Excellent
ZYDUSLIFE,3228.0,-1492.0,-1810.0,-75.0,Positive Operating Cash Flow; Investing for Future Growth; Debt Reduction / Shareholder Returns,Negative Net Cash Flow,85,Good
